filename,path,pred,conf,second,second_conf,status
004220.jpg,004220.jpg,swd,1.0000,others,0.0000,unknown_class
002742.jpg,002742.jpg,swd,1.0000,others,0.0000,unknown_class
003696.jpg,003696.jpg,swd,1.0000,others,0.0000,unknown_class
005526.jpg,005526.jpg,swd,1.0000,others,0.0000,unknown_class
000207.jpg,000207.jpg,swd,1.0000,others,0.0000,unknown_class
000947.jpg,000947.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001238.jpg,001238.jpg,swd,1.0000,others,0.0000,unknown_class
005279.jpg,005279.jpg,swd,1.0000,others,0.0000,unknown_class
006645.jpg,006645.jpg,swd,1.0000,others,0.0000,unknown_class
000419.jpg,000419.jpg,swd,1.0000,others,0.0000,unknown_class
002556.jpg,002556.jpg,swd,1.0000,others,0.0000,unknown_class
004011.jpg,004011.jpg,swd,1.0000,others,0.0000,unknown_class
004418.jpg,004418.jpg,swd,1.0000,others,0.0000,unknown_class
000323.jpg,000323.jpg,swd,1.0000,others,0.0000,unknown_class
001330.jpg,001330.jpg,swd,1.0000,others,0.0000,unknown_class
000739.jpg,000739.jpg,swd,1.0000,others,0.0000,unknown_class
002339.jpg,002339.jpg,swd,1.0000,others,0.0000,unknown_class
000077.jpg,000077.jpg,swd,1.0000,mayswd,0.0000,unknown_class
004055.jpg,004055.jpg,swd,1.0000,others,0.0000,unknown_class
001648.jpg,001648.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001205.jpg,001205.jpg,swd,1.0000,others,0.0000,unknown_class
000870.jpg,000870.jpg,swd,1.0000,others,0.0000,unknown_class
000781.jpg,000781.jpg,swd,1.0000,others,0.0000,unknown_class
003024.jpg,003024.jpg,swd,1.0000,mayswd,0.0000,unknown_class
003300.jpg,003300.jpg,swd,1.0000,others,0.0000,unknown_class
006203.jpg,006203.jpg,swd,1.0000,others,0.0000,unknown_class
000580.jpg,000580.jpg,swd,1.0000,mayswd,0.0000,unknown_class
005379.jpg,005379.jpg,swd,1.0000,others,0.0000,unknown_class
000736.jpg,000736.jpg,swd,1.0000,others,0.0000,unknown_class
001338.jpg,001338.jpg,swd,1.0000,others,0.0000,unknown_class
003259.jpg,003259.jpg,swd,1.0000,others,0.0000,unknown_class
002278.jpg,002278.jpg,swd,1.0000,others,0.0000,unknown_class
