date,start_time,end_time,sensors_data_num,rows_num,duration(hh:mm),duration(mm)
2024-06-04,16:30:20,21:57:37,63,66,05:27,327
2024-06-05,06:00:19,20:54:50,174,174,14:54,894
2024-06-06,05:59:21,20:59:21,180,181,15:00,900
2024-06-07,05:59:22,20:59:22,181,181,15:00,900
2024-06-08,05:59:22,20:59:22,181,181,15:00,900
2024-06-09,05:59:22,20:59:22,181,181,15:00,900
2024-06-10,06:00:22,20:55:22,180,180,14:55,895
2024-06-11,05:59:22,20:59:22,181,181,15:00,900
2024-06-12,05:59:22,20:59:22,181,181,15:00,900
2024-06-13,05:59:23,20:54:22,180,180,14:54,894
2024-06-14,05:59:21,20:54:21,180,180,14:55,895
2024-06-15,05:58:22,21:03:23,183,183,15:05,905
2024-06-16,05:58:21,20:58:21,181,181,15:00,900
2024-06-17,05:59:22,20:59:22,181,181,15:00,900
2024-06-18,05:59:22,20:59:22,181,181,15:00,900
2024-06-19,05:59:23,20:59:22,181,181,14:59,899
2024-06-20,06:00:23,20:55:22,180,180,14:54,894
2024-06-21,05:59:22,20:59:22,181,181,15:00,900
2024-06-22,05:59:22,20:59:22,181,181,15:00,900
2024-06-23,05:59:23,20:59:23,181,181,15:00,900
2024-06-24,05:59:22,20:59:22,181,181,15:00,900
2024-06-25,05:59:22,20:59:22,181,181,15:00,900
2024-06-26,05:59:23,20:59:22,181,181,14:59,899
2024-06-27,05:59:22,20:59:22,181,181,15:00,900
2024-06-28,05:59:22,20:59:22,181,181,15:00,900
2024-06-29,05:59:25,20:59:24,181,181,14:59,899
2024-06-30,05:59:22,20:59:22,181,181,15:00,900
2024-07-01,05:59:23,20:59:23,181,181,15:00,900
2024-07-02,05:59:23,20:59:22,181,181,14:59,899
2024-07-03,05:59:24,20:59:23,181,181,14:59,899
2024-07-04,05:59:23,20:59:22,181,181,14:59,899
2024-07-05,05:59:23,20:59:23,180,181,15:00,900
2024-07-06,05:59:23,20:59:23,181,181,15:00,900
2024-07-07,06:00:21,20:55:21,180,180,14:55,895
2024-07-08,05:59:22,20:59:22,181,181,15:00,900
2024-07-09,05:59:23,20:59:22,181,181,14:59,899
2024-07-10,05:59:22,20:59:22,181,181,15:00,900
2024-07-11,05:59:23,20:59:23,181,181,15:00,900
2024-07-12,06:00:23,20:55:23,180,180,14:55,895
2024-07-13,05:59:23,20:59:22,181,181,14:59,899
2024-07-14,05:59:23,20:59:22,181,181,14:59,899
2024-07-15,06:00:23,20:55:23,180,180,14:55,895
2024-07-16,06:00:23,20:55:23,180,180,14:55,895
2024-07-17,05:59:23,20:59:23,181,181,15:00,900
2024-07-18,06:00:23,20:55:23,180,180,14:55,895
2024-07-19,06:00:23,20:55:22,180,180,14:54,894
2024-07-20,05:59:23,20:59:22,181,181,14:59,899
2024-07-21,05:59:24,20:59:24,181,181,15:00,900
2024-07-22,06:00:22,20:55:22,180,180,14:55,895
2024-07-23,05:59:24,20:59:24,181,181,15:00,900
2024-07-24,06:00:24,20:55:23,180,180,14:54,894
2024-07-25,06:00:23,20:55:23,180,180,14:55,895
2024-07-26,06:00:25,20:55:24,180,180,14:54,894
2024-07-27,06:00:23,20:55:23,180,180,14:55,895
2024-07-28,06:00:21,20:55:21,180,180,14:55,895
2024-07-29,05:59:20,20:54:20,180,180,14:55,895
2024-07-30,05:59:22,20:59:22,181,181,15:00,900
2024-07-31,06:00:25,20:55:25,180,180,14:55,895
2024-08-01,05:59:23,20:54:23,180,180,14:55,895
2024-08-02,05:59:22,20:54:22,180,180,14:55,895
2024-08-03,05:58:23,20:53:23,180,180,14:55,895
2024-08-04,05:58:24,20:58:23,181,181,14:59,899
2024-08-05,05:59:25,20:59:24,181,181,14:59,899
2024-08-06,05:59:24,20:59:23,181,181,14:59,899
2024-08-07,05:59:24,20:59:23,181,181,14:59,899
2024-08-08,06:00:24,20:55:23,180,180,14:54,894
2024-08-09,06:00:23,20:55:23,180,180,14:55,895
2024-08-10,06:00:27,20:55:26,180,180,14:54,894
2024-08-11,06:00:23,20:55:23,180,180,14:55,895
2024-08-12,06:00:23,20:55:22,180,180,14:54,894
2024-08-13,05:59:24,20:59:24,181,181,15:00,900
2024-08-14,06:00:24,20:55:23,180,180,14:54,894
2024-08-15,06:00:23,20:55:23,180,180,14:55,895
2024-08-16,06:00:23,20:55:23,155,180,14:55,895
2024-08-17,06:00:23,20:55:23,88,180,14:55,895
2024-08-18,06:00:24,20:55:23,77,180,14:54,894
2024-08-19,06:00:24,20:55:24,99,180,14:55,895
2024-08-20,06:00:24,20:55:24,180,180,14:55,895
2024-08-21,05:59:25,20:59:24,181,181,14:59,899
2024-08-22,06:00:24,20:55:24,180,180,14:55,895
2024-08-23,06:00:23,20:55:23,180,180,14:55,895
2024-08-24,05:59:23,20:54:23,180,180,14:55,895
2024-08-25,05:59:21,20:54:21,180,180,14:55,895
2024-08-26,05:59:21,20:59:20,175,176,14:59,899
2024-08-27,05:59:23,20:59:22,181,181,14:59,899
2024-08-28,05:59:26,20:59:26,180,181,15:00,900
2024-08-29,05:59:23,20:59:23,181,181,15:00,900
2024-08-30,06:00:25,20:55:25,180,180,14:55,895
2024-08-31,06:00:23,20:55:23,180,180,14:55,895
2024-09-01,06:00:22,20:55:22,180,180,14:55,895
2024-09-02,05:59:26,20:59:26,181,181,15:00,900
2024-09-03,06:00:23,20:55:23,180,180,14:55,895
2024-09-04,06:00:24,20:55:23,180,180,14:54,894
2024-09-05,05:59:24,20:59:23,181,181,14:59,899
2024-09-06,06:00:23,20:55:23,180,180,14:55,895
2024-09-07,06:00:23,20:55:22,180,180,14:54,894
2024-09-08,05:59:24,20:59:23,181,181,14:59,899
2024-09-09,06:00:24,20:55:24,180,180,14:55,895
2024-09-10,06:00:24,20:55:23,180,180,14:54,894
2024-09-11,06:00:23,20:55:23,180,180,14:55,895
2024-09-12,06:00:25,20:55:25,180,180,14:55,895
2024-09-13,05:59:23,17:43:22,142,142,11:43,703
2024-09-14,09:00:21,20:58:21,138,138,11:58,718
2024-09-15,07:39:24,20:58:21,160,160,13:18,798
2024-09-16,05:59:24,20:59:22,122,122,14:59,899
2024-09-17,09:58:21,20:58:21,133,133,11:00,660
2024-09-18,05:59:23,20:59:22,142,181,14:59,899
2024-09-19,05:59:25,20:59:24,169,181,14:59,899
2024-09-20,06:00:24,20:55:23,169,180,14:54,894
2024-09-21,06:00:23,20:55:23,173,180,14:55,895
2024-09-22,06:00:21,20:56:21,142,143,14:56,896
2024-09-23,05:59:20,20:44:22,80,80,14:45,885
2024-09-24,12:51:22,18:21:22,67,67,05:30,330
2024-09-25,09:29:20,20:54:20,134,138,11:25,685
2024-09-26,05:56:21,11:26:20,39,67,05:29,329
2024-09-27,06:01:20,11:21:20,65,65,05:20,320
