epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.854,0.816,2.33053,0.9887,0.8228,0.81393,0.88143,0.73061,0.7084,1.02006,0.93873,0.00333074,0.00333074,0.00333074
2,119.212,0.71374,0.94901,0.94841,0.85545,0.74988,0.85386,0.70603,0.69115,0.95125,0.93906,0.00665748,0.00665748,0.00665748
3,174.95,0.74637,0.73942,0.95743,0.86699,0.75171,0.88183,0.70194,0.80368,0.82444,0.98581,0.00997762,0.00997762,0.00997762
4,230.621,0.73787,0.62819,0.95985,0.81247,0.69486,0.82198,0.67648,0.71921,0.92975,0.95603,0.0099703,0.0099703,0.0099703
5,286.499,0.69072,0.55042,0.93726,0.88046,0.84189,0.92578,0.77775,0.68084,0.62895,0.92906,0.0099604,0.0099604,0.0099604
6,341.738,0.64797,0.5019,0.91889,0.8561,0.83533,0.92114,0.77608,0.6531,0.62896,0.92135,0.0099505,0.0099505,0.0099505
7,397.502,0.61875,0.47297,0.9107,0.89271,0.81211,0.92157,0.78591,0.61508,0.69455,0.91228,0.0099406,0.0099406,0.0099406
8,453.125,0.6011,0.46768,0.9002,0.83632,0.82934,0.92083,0.79236,0.62493,0.73986,0.90742,0.0099307,0.0099307,0.0099307
9,508.926,0.58656,0.44367,0.8914,0.846,0.76819,0.88129,0.75434,0.62542,0.69385,0.92197,0.0099208,0.0099208,0.0099208
10,564.357,0.57642,0.42714,0.89085,0.88126,0.84589,0.92643,0.79482,0.61287,0.60662,0.89514,0.0099109,0.0099109,0.0099109
11,620.04,0.56123,0.41949,0.88503,0.89931,0.84532,0.93696,0.81002,0.59588,0.55221,0.89906,0.009901,0.009901,0.009901
12,675.607,0.54996,0.40509,0.87722,0.88916,0.88832,0.95293,0.82684,0.57912,0.48862,0.89055,0.0098911,0.0098911,0.0098911
13,731.554,0.53452,0.40084,0.87119,0.87199,0.85959,0.9358,0.81162,0.5706,0.55577,0.88832,0.0098812,0.0098812,0.0098812
14,786.991,0.53941,0.39612,0.87832,0.8768,0.85308,0.93041,0.80651,0.57216,0.59453,0.89226,0.0098713,0.0098713,0.0098713
15,842.756,0.53114,0.38312,0.86939,0.91073,0.85559,0.94654,0.81993,0.58974,0.52591,0.89681,0.0098614,0.0098614,0.0098614
16,898.566,0.52742,0.37856,0.87396,0.89965,0.86481,0.94672,0.8291,0.55594,0.65084,0.88757,0.0098515,0.0098515,0.0098515
17,954.813,0.51671,0.38083,0.86803,0.91871,0.87724,0.9585,0.8341,0.55836,0.49257,0.8801,0.0098416,0.0098416,0.0098416
18,1010.85,0.51214,0.37025,0.86213,0.90142,0.879,0.95426,0.8301,0.58415,0.49135,0.90204,0.0098317,0.0098317,0.0098317
19,1066.49,0.50412,0.36403,0.86577,0.90568,0.87691,0.95423,0.83388,0.56339,0.56018,0.88485,0.0098218,0.0098218,0.0098218
20,1122.34,0.50291,0.36311,0.86654,0.88403,0.84247,0.93761,0.81924,0.56947,0.58948,0.88818,0.0098119,0.0098119,0.0098119
21,1177.95,0.49797,0.34976,0.86079,0.90571,0.86929,0.95362,0.82949,0.57012,0.52671,0.88615,0.009802,0.009802,0.009802
22,1234.01,0.49161,0.35224,0.85631,0.88655,0.82069,0.93409,0.82398,0.55264,0.61848,0.88412,0.0097921,0.0097921,0.0097921
23,1290.27,0.49285,0.35261,0.85577,0.86038,0.84067,0.92073,0.80468,0.56628,0.62518,0.88917,0.0097822,0.0097822,0.0097822
24,1346.24,0.48501,0.34677,0.85568,0.81191,0.84304,0.90162,0.79379,0.55279,0.61762,0.8861,0.0097723,0.0097723,0.0097723
25,1401.31,0.47902,0.34728,0.85454,0.89985,0.88128,0.95666,0.84093,0.55523,0.48422,0.8818,0.0097624,0.0097624,0.0097624
26,1457.44,0.47745,0.35201,0.85648,0.90628,0.91068,0.96196,0.8505,0.54077,0.46278,0.88525,0.0097525,0.0097525,0.0097525
27,1513.69,0.47629,0.33467,0.85542,0.92232,0.86701,0.94546,0.82697,0.54881,0.59765,0.88002,0.0097426,0.0097426,0.0097426
28,1569.85,0.47464,0.32427,0.85273,0.88084,0.87957,0.94286,0.82614,0.55194,0.56719,0.88284,0.0097327,0.0097327,0.0097327
29,1625.9,0.47616,0.3397,0.85268,0.87463,0.88984,0.94631,0.83702,0.54177,0.49843,0.88097,0.0097228,0.0097228,0.0097228
30,1681.79,0.46331,0.33256,0.84614,0.90197,0.87699,0.95055,0.83062,0.5519,0.48894,0.88125,0.0097129,0.0097129,0.0097129
31,1737.74,0.46773,0.32941,0.85207,0.8796,0.89098,0.94846,0.83883,0.5504,0.57164,0.87964,0.009703,0.009703,0.009703
32,1794.36,0.46106,0.32555,0.84921,0.89805,0.85274,0.94337,0.82655,0.54868,0.55601,0.87749,0.0096931,0.0096931,0.0096931
33,1850.86,0.45877,0.31886,0.84989,0.87515,0.89897,0.9546,0.84963,0.52129,0.50152,0.87348,0.0096832,0.0096832,0.0096832
34,1907.11,0.46623,0.31394,0.85808,0.89695,0.89269,0.95186,0.84187,0.52689,0.49412,0.88003,0.0096733,0.0096733,0.0096733
35,1963.73,0.45701,0.34126,0.84748,0.9086,0.8242,0.92226,0.81357,0.53386,0.59257,0.87643,0.0096634,0.0096634,0.0096634
36,2020.39,0.44604,0.30883,0.84463,0.89785,0.88756,0.95202,0.84042,0.53822,0.5471,0.87604,0.0096535,0.0096535,0.0096535
37,2076.93,0.45841,0.31602,0.84551,0.91,0.88876,0.95878,0.85067,0.52921,0.49301,0.87588,0.0096436,0.0096436,0.0096436
38,2133.2,0.44829,0.31338,0.84302,0.86448,0.89205,0.94923,0.84074,0.53168,0.4983,0.87745,0.0096337,0.0096337,0.0096337
39,2189.59,0.45031,0.30491,0.84631,0.90478,0.89612,0.9585,0.85806,0.52276,0.50507,0.87362,0.0096238,0.0096238,0.0096238
40,2246.09,0.44521,0.30266,0.84153,0.87968,0.90011,0.94632,0.83393,0.5308,0.48366,0.87643,0.0096139,0.0096139,0.0096139
41,2302.23,0.44686,0.31653,0.84279,0.88851,0.88698,0.94328,0.83655,0.53046,0.5291,0.87882,0.009604,0.009604,0.009604
42,2358.42,0.44321,0.3069,0.84044,0.87731,0.91381,0.95644,0.84769,0.53025,0.42796,0.8746,0.0095941,0.0095941,0.0095941
43,2414.33,0.44546,0.30163,0.83983,0.87748,0.88128,0.94876,0.84899,0.51601,0.54436,0.86836,0.0095842,0.0095842,0.0095842
