epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2911,0.75174,1.25684,0.90462,0.80658,0.78599,0.87847,0.69204,0.80956,0.86922,0.93688,0.00332904,0.00332904,0.00332904
2,96.9994,0.65759,0.62171,0.88639,0.87124,0.87922,0.92579,0.72684,0.84304,0.76736,0.98327,0.00665578,0.00665578,0.00665578
3,142.767,0.69073,0.60832,0.90818,0.90464,0.77707,0.88118,0.66101,1.01895,0.86152,1.11563,0.00997591,0.00997591,0.00997591
4,188.192,0.68555,0.56841,0.92197,0.90246,0.79108,0.90773,0.70642,0.86097,0.83997,1.00588,0.0099703,0.0099703,0.0099703
5,233.689,0.64144,0.50045,0.90601,0.89949,0.86646,0.91667,0.7203,0.79979,0.61811,0.98671,0.0099604,0.0099604,0.0099604
6,278.972,0.6054,0.46098,0.89313,0.91643,0.92484,0.94919,0.73556,0.88579,0.56588,1.0531,0.0099505,0.0099505,0.0099505
7,324.248,0.57865,0.43456,0.88007,0.91282,0.90695,0.93545,0.75355,0.79528,0.5569,0.97854,0.0099406,0.0099406,0.0099406
8,369.411,0.55318,0.41283,0.87244,0.90244,0.8602,0.92004,0.73346,0.83592,0.76201,1.00612,0.0099307,0.0099307,0.0099307
9,414.774,0.53693,0.39834,0.8683,0.93015,0.92102,0.94636,0.76445,0.78804,0.51275,0.97995,0.0099208,0.0099208,0.0099208
10,460.221,0.52841,0.38587,0.86199,0.91833,0.91673,0.94209,0.765,0.74079,0.49946,0.95494,0.0099109,0.0099109,0.0099109
11,505.692,0.522,0.37697,0.86058,0.90839,0.91083,0.94882,0.77051,0.777,0.52287,0.97458,0.009901,0.009901,0.009901
12,550.864,0.50781,0.3648,0.85695,0.93655,0.92132,0.9634,0.78574,0.74196,0.46494,0.96243,0.0098911,0.0098911,0.0098911
13,596.133,0.49256,0.35577,0.85185,0.9413,0.93503,0.96121,0.77037,0.76155,0.45305,0.95632,0.0098812,0.0098812,0.0098812
14,641.815,0.48753,0.35193,0.84923,0.94329,0.92739,0.94838,0.7698,0.7563,0.50728,0.9647,0.0098713,0.0098713,0.0098713
15,687.124,0.47578,0.34025,0.84624,0.92989,0.91975,0.95801,0.77782,0.75238,0.46584,0.96285,0.0098614,0.0098614,0.0098614
16,732.382,0.47241,0.33256,0.84679,0.93968,0.9172,0.9522,0.7786,0.75353,0.4885,0.97063,0.0098515,0.0098515,0.0098515
17,777.923,0.46923,0.33224,0.84418,0.92928,0.91465,0.93966,0.75732,0.77853,0.51105,0.98216,0.0098416,0.0098416,0.0098416
18,823.294,0.45826,0.32911,0.84045,0.91088,0.93748,0.95638,0.76818,0.80768,0.47789,1.00199,0.0098317,0.0098317,0.0098317
19,868.562,0.45513,0.32504,0.83767,0.925,0.92698,0.95152,0.78419,0.71234,0.46167,0.94894,0.0098218,0.0098218,0.0098218
20,913.656,0.44996,0.31365,0.83667,0.89943,0.91138,0.9408,0.78733,0.72528,0.51539,0.95836,0.0098119,0.0098119,0.0098119
21,959.14,0.45428,0.31696,0.84037,0.93251,0.93281,0.95308,0.7775,0.75921,0.46519,0.97326,0.009802,0.009802,0.009802
22,1004.63,0.44417,0.30984,0.83546,0.92099,0.91338,0.94266,0.754,0.83432,0.52423,1.00963,0.0097921,0.0097921,0.0097921
