epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2422,0.74607,1.55258,0.93636,0.93879,0.90819,0.96359,0.79922,0.71909,0.59643,0.86436,0.00332545,0.00332545,0.00332545
2,147.959,0.70398,0.61017,0.9072,0.92626,0.87829,0.96444,0.77332,0.74623,0.57521,0.91254,0.00665219,0.00665219,0.00665219
3,220.198,0.7569,0.64104,0.94129,0.81915,0.68539,0.80742,0.6303,0.84941,1.00317,0.99539,0.00997234,0.00997234,0.00997234
4,291.614,0.74185,0.56374,0.95695,0.91329,0.86617,0.93533,0.78294,0.74174,0.64505,0.92198,0.0099703,0.0099703,0.0099703
5,363.342,0.67018,0.49349,0.92257,0.92635,0.91018,0.95952,0.80265,0.68581,0.50727,0.91295,0.0099604,0.0099604,0.0099604
6,435.241,0.62626,0.44935,0.90604,0.95114,0.89659,0.97586,0.80304,0.6833,0.47555,0.90432,0.0099505,0.0099505,0.0099505
7,507.115,0.59875,0.42636,0.898,0.92434,0.97368,0.97692,0.81535,0.68439,0.43216,0.8926,0.0099406,0.0099406,0.0099406
8,578.889,0.57866,0.40425,0.88995,0.94817,0.9628,0.98275,0.84272,0.63572,0.3973,0.87151,0.0099307,0.0099307,0.0099307
9,650.704,0.55832,0.38705,0.88471,0.94808,0.96111,0.98434,0.84762,0.61263,0.39687,0.86202,0.0099208,0.0099208,0.0099208
10,722.599,0.55135,0.38011,0.87952,0.94017,0.98206,0.98432,0.8516,0.62301,0.39822,0.86478,0.0099109,0.0099109,0.0099109
11,794.468,0.53442,0.36327,0.87545,0.95618,0.94079,0.98223,0.86309,0.61048,0.42919,0.86614,0.009901,0.009901,0.009901
12,866.297,0.5204,0.35198,0.8703,0.93021,0.9207,0.97009,0.83647,0.57899,0.42445,0.84698,0.0098911,0.0098911,0.0098911
13,938.023,0.51104,0.34562,0.86648,0.95385,0.95194,0.98423,0.85283,0.56842,0.38021,0.85006,0.0098812,0.0098812,0.0098812
14,1009.8,0.5071,0.33794,0.86357,0.92724,0.95724,0.9777,0.85314,0.60376,0.36731,0.85597,0.0098713,0.0098713,0.0098713
15,1081.2,0.49242,0.33021,0.85543,0.92205,0.97279,0.97938,0.85818,0.56998,0.36088,0.84838,0.0098614,0.0098614,0.0098614
16,1152.56,0.4847,0.32881,0.85752,0.93128,0.97368,0.98597,0.87815,0.57031,0.35095,0.86105,0.0098515,0.0098515,0.0098515
17,1224.35,0.47911,0.3274,0.85209,0.957,0.91776,0.98207,0.86259,0.56248,0.52455,0.8449,0.0098416,0.0098416,0.0098416
18,1295.71,0.47358,0.31957,0.85405,0.96364,0.9591,0.98733,0.87569,0.52995,0.35076,0.83009,0.0098317,0.0098317,0.0098317
19,1367.11,0.46778,0.31208,0.84939,0.97566,0.97368,0.9885,0.86483,0.5614,0.3471,0.84227,0.0098218,0.0098218,0.0098218
20,1438.83,0.46346,0.30609,0.84416,0.96092,0.97055,0.9886,0.88112,0.54915,0.32406,0.83997,0.0098119,0.0098119,0.0098119
21,1510.68,0.46082,0.30456,0.84713,0.9705,0.95395,0.9903,0.89065,0.50653,0.32127,0.82167,0.009802,0.009802,0.009802
22,1582.54,0.45327,0.29481,0.84237,0.93167,0.98676,0.98374,0.86512,0.55159,0.32993,0.83695,0.0097921,0.0097921,0.0097921
23,1654.01,0.45041,0.29415,0.84527,0.95676,0.97039,0.99052,0.89757,0.50097,0.30191,0.82172,0.0097822,0.0097822,0.0097822
24,1725.73,0.44337,0.29149,0.84163,0.97053,0.97697,0.98824,0.88737,0.53357,0.32337,0.82794,0.0097723,0.0097723,0.0097723
25,1797.05,0.4396,0.28738,0.83813,0.96574,0.92715,0.97304,0.86803,0.50424,0.35848,0.8197,0.0097624,0.0097624,0.0097624
26,1868.42,0.43533,0.28734,0.83934,0.95379,0.95049,0.98497,0.8771,0.51038,0.32775,0.82156,0.0097525,0.0097525,0.0097525
27,1940.1,0.43281,0.28291,0.8398,0.92723,0.93421,0.98468,0.88018,0.53587,0.38322,0.83636,0.0097426,0.0097426,0.0097426
28,2011.84,0.43343,0.27914,0.83721,0.9437,0.97039,0.98281,0.88247,0.51244,0.3114,0.8241,0.0097327,0.0097327,0.0097327
29,2083.62,0.42695,0.28093,0.83286,0.97213,0.91795,0.98489,0.8636,0.54962,0.36211,0.84435,0.0097228,0.0097228,0.0097228
