epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7226,0.7371,1.12907,0.91667,0.94582,0.91874,0.97647,0.81271,0.68148,0.65148,0.8741,0.00332939,0.00332939,0.00332939
2,126.255,0.7001,0.6029,0.90919,0.89058,0.93705,0.96267,0.77908,0.72824,0.61665,0.89082,0.00665613,0.00665613,0.00665613
3,186.16,0.73968,0.61232,0.93259,0.92538,0.85197,0.95702,0.7607,0.7996,0.79317,0.9291,0.00997626,0.00997626,0.00997626
4,245.663,0.74056,0.58984,0.93749,0.93706,0.91776,0.97028,0.8134,0.69305,0.53404,0.88916,0.0099703,0.0099703,0.0099703
5,305.394,0.67144,0.50523,0.91563,0.9303,0.87171,0.94386,0.79853,0.66127,0.54778,0.87712,0.0099604,0.0099604,0.0099604
6,365.05,0.64061,0.46501,0.9078,0.93956,0.97164,0.98565,0.81901,0.69738,0.44475,0.88933,0.0099505,0.0099505,0.0099505
7,424.744,0.60719,0.43866,0.8912,0.94618,0.91118,0.97301,0.83187,0.64187,0.45806,0.86757,0.0099406,0.0099406,0.0099406
8,484.839,0.58389,0.4206,0.88462,0.91983,0.94354,0.97239,0.83497,0.61787,0.45838,0.86573,0.0099307,0.0099307,0.0099307
9,545.156,0.56649,0.40313,0.87868,0.94187,0.95724,0.98562,0.85514,0.59391,0.38775,0.85912,0.0099208,0.0099208,0.0099208
10,604.472,0.55242,0.38819,0.87321,0.90179,0.92434,0.96507,0.83474,0.58288,0.45699,0.85023,0.0099109,0.0099109,0.0099109
11,663.692,0.54475,0.38428,0.87084,0.96043,0.95802,0.98759,0.87385,0.5549,0.3687,0.83647,0.009901,0.009901,0.009901
12,723.696,0.53249,0.37404,0.8637,0.94627,0.92702,0.97848,0.85008,0.58023,0.43108,0.84332,0.0098911,0.0098911,0.0098911
13,783.654,0.52508,0.36443,0.86336,0.95373,0.94927,0.98024,0.8687,0.53481,0.37931,0.8339,0.0098812,0.0098812,0.0098812
14,843.915,0.51211,0.35136,0.85776,0.92731,0.96523,0.98076,0.8758,0.54668,0.39009,0.83125,0.0098713,0.0098713,0.0098713
15,904.093,0.50209,0.34725,0.85423,0.95555,0.91929,0.98059,0.87122,0.54713,0.38927,0.82893,0.0098614,0.0098614,0.0098614
16,963.966,0.5009,0.34838,0.85593,0.9684,0.9072,0.9803,0.86588,0.56376,0.39306,0.8458,0.0098515,0.0098515,0.0098515
17,1024.08,0.49645,0.33997,0.85144,0.96962,0.94489,0.98645,0.87875,0.53959,0.34128,0.83091,0.0098416,0.0098416,0.0098416
18,1084.37,0.48423,0.33113,0.85052,0.97231,0.96382,0.98013,0.86623,0.51754,0.33827,0.82463,0.0098317,0.0098317,0.0098317
19,1144.44,0.48296,0.33101,0.85007,0.95118,0.98355,0.99012,0.8712,0.54721,0.35018,0.83304,0.0098218,0.0098218,0.0098218
20,1203.88,0.47677,0.32367,0.84617,0.94221,0.96537,0.98809,0.87872,0.558,0.34448,0.83935,0.0098119,0.0098119,0.0098119
21,1263.98,0.47614,0.31999,0.84562,0.95151,0.96053,0.98531,0.88015,0.5218,0.34874,0.82389,0.009802,0.009802,0.009802
22,1323.59,0.47059,0.3164,0.84445,0.96166,0.96711,0.98218,0.88529,0.52257,0.31561,0.82312,0.0097921,0.0097921,0.0097921
23,1383.87,0.46497,0.31109,0.84053,0.93823,0.97697,0.97986,0.87551,0.53037,0.34102,0.8307,0.0097822,0.0097822,0.0097822
24,1443.6,0.46139,0.31394,0.84094,0.95661,0.95724,0.98827,0.88039,0.51314,0.33275,0.82389,0.0097723,0.0097723,0.0097723
25,1503.41,0.45437,0.30687,0.83723,0.94597,0.93421,0.98079,0.87987,0.50411,0.36772,0.81982,0.0097624,0.0097624,0.0097624
26,1563,0.45136,0.30767,0.83751,0.9768,0.9693,0.98784,0.88396,0.52035,0.31033,0.82855,0.0097525,0.0097525,0.0097525
27,1622.38,0.44246,0.30035,0.83038,0.96509,0.97697,0.99066,0.8881,0.51264,0.29928,0.82094,0.0097426,0.0097426,0.0097426
28,1681.71,0.44232,0.29498,0.83307,0.97047,0.97278,0.99144,0.8884,0.51239,0.30545,0.8193,0.0097327,0.0097327,0.0097327
29,1740.91,0.43851,0.28945,0.83365,0.96004,0.94834,0.98775,0.88803,0.5253,0.33052,0.82592,0.0097228,0.0097228,0.0097228
30,1800.1,0.4377,0.29179,0.83071,0.94785,0.97697,0.98574,0.89304,0.50131,0.31173,0.8163,0.0097129,0.0097129,0.0097129
31,1860.39,0.43655,0.29141,0.82987,0.9693,0.95395,0.98988,0.88785,0.49496,0.31627,0.81794,0.009703,0.009703,0.009703
32,1920.24,0.43232,0.28489,0.82981,0.97047,0.97286,0.99013,0.89062,0.49598,0.29246,0.8173,0.0096931,0.0096931,0.0096931
33,1979.91,0.42593,0.28348,0.8299,0.97377,0.97697,0.98819,0.89059,0.51522,0.28914,0.8176,0.0096832,0.0096832,0.0096832
34,2039.12,0.43127,0.28146,0.83066,0.97994,0.96053,0.99003,0.89194,0.51802,0.30566,0.82257,0.0096733,0.0096733,0.0096733
35,2098.77,0.4241,0.28081,0.82703,0.96446,0.97368,0.99039,0.89696,0.49995,0.28875,0.81507,0.0096634,0.0096634,0.0096634
36,2158.21,0.42299,0.28343,0.82703,0.9899,0.96699,0.99058,0.89732,0.4968,0.28509,0.81476,0.0096535,0.0096535,0.0096535
37,2217.87,0.41909,0.27686,0.8279,0.96626,0.97697,0.98816,0.89431,0.49754,0.28748,0.81293,0.0096436,0.0096436,0.0096436
38,2277.02,0.41417,0.27348,0.82598,0.97944,0.95724,0.98467,0.88906,0.49535,0.30076,0.81655,0.0096337,0.0096337,0.0096337
39,2336.3,0.41775,0.2758,0.82678,0.95579,0.98026,0.99053,0.90003,0.51335,0.28654,0.82012,0.0096238,0.0096238,0.0096238
40,2395.69,0.41464,0.27061,0.82267,0.9643,0.97741,0.98979,0.91033,0.4748,0.28241,0.80735,0.0096139,0.0096139,0.0096139
41,2454.99,0.4119,0.27219,0.82512,0.95496,0.97637,0.98889,0.90401,0.47536,0.29352,0.80512,0.009604,0.009604,0.009604
42,2514.95,0.40799,0.26882,0.82498,0.97511,0.98026,0.9921,0.90208,0.48206,0.27392,0.80896,0.0095941,0.0095941,0.0095941
43,2574.69,0.40775,0.26915,0.82473,0.97325,0.94079,0.97498,0.89156,0.4638,0.33967,0.80277,0.0095842,0.0095842,0.0095842
44,2634.22,0.40719,0.27099,0.81984,0.96532,0.96711,0.98935,0.90877,0.47413,0.3039,0.81043,0.0095743,0.0095743,0.0095743
