epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4524,0.76404,2.22379,0.96676,0.91518,0.8125,0.9281,0.76738,0.69451,0.94004,0.90553,0.00332545,0.00332545,0.00332545
2,45.1955,0.67997,0.86598,0.9305,0.88619,0.89145,0.95451,0.78304,0.6787,0.84957,0.88791,0.00665219,0.00665219,0.00665219
3,64.6387,0.70566,0.66023,0.93596,0.85248,0.71382,0.83764,0.67133,0.79643,0.9837,0.94848,0.00997234,0.00997234,0.00997234
4,84.8742,0.69441,0.55611,0.93632,0.85131,0.79102,0.86443,0.71736,0.7373,0.85359,0.9237,0.0099703,0.0099703,0.0099703
5,104.935,0.63891,0.49927,0.90824,0.91903,0.93421,0.97378,0.81145,0.67036,0.54073,0.89392,0.0099604,0.0099604,0.0099604
6,124.433,0.61115,0.46179,0.90162,0.8812,0.80592,0.90445,0.76024,0.6369,0.78717,0.88337,0.0099505,0.0099505,0.0099505
7,143.786,0.57535,0.43178,0.88906,0.94388,0.94053,0.97906,0.82147,0.65527,0.43049,0.88787,0.0099406,0.0099406,0.0099406
8,163.355,0.55885,0.40673,0.88212,0.92383,0.91767,0.96397,0.83691,0.59725,0.46241,0.86943,0.0099307,0.0099307,0.0099307
9,182.432,0.5532,0.40172,0.88254,0.94605,0.90461,0.97795,0.85692,0.57708,0.5552,0.85715,0.0099208,0.0099208,0.0099208
10,201.694,0.5344,0.38789,0.87373,0.96034,0.90132,0.97112,0.85844,0.51683,0.45362,0.82759,0.0099109,0.0099109,0.0099109
11,220.394,0.52077,0.37472,0.87049,0.92973,0.95754,0.97354,0.84789,0.58537,0.41529,0.85328,0.009901,0.009901,0.009901
12,239.372,0.51265,0.36697,0.8672,0.96411,0.94408,0.98376,0.86606,0.54765,0.37756,0.84092,0.0098911,0.0098911,0.0098911
13,258.621,0.50654,0.36112,0.86447,0.96977,0.94973,0.98287,0.85912,0.54287,0.38061,0.84063,0.0098812,0.0098812,0.0098812
14,278.012,0.5056,0.35252,0.86352,0.93186,0.9447,0.97709,0.85472,0.55084,0.3784,0.83655,0.0098713,0.0098713,0.0098713
15,298.133,0.49289,0.34906,0.8559,0.9341,0.88816,0.96927,0.85632,0.55244,0.58431,0.84844,0.0098614,0.0098614,0.0098614
16,317.728,0.49111,0.345,0.85961,0.95072,0.96053,0.98361,0.86837,0.54026,0.35443,0.84919,0.0098515,0.0098515,0.0098515
17,337.826,0.4837,0.34407,0.8542,0.96506,0.9085,0.97426,0.85371,0.56195,0.42898,0.8404,0.0098416,0.0098416,0.0098416
18,357.814,0.48202,0.335,0.85684,0.96941,0.93834,0.98908,0.88288,0.50772,0.3388,0.83291,0.0098317,0.0098317,0.0098317
19,377.594,0.47263,0.33026,0.85166,0.96671,0.97368,0.99141,0.88565,0.51565,0.32234,0.82827,0.0098218,0.0098218,0.0098218
20,397.8,0.4693,0.32153,0.84821,0.96081,0.96785,0.98809,0.87378,0.52078,0.3639,0.83955,0.0098119,0.0098119,0.0098119
21,418.418,0.46719,0.33013,0.85134,0.95139,0.96565,0.98943,0.87343,0.51971,0.33478,0.82981,0.009802,0.009802,0.009802
22,439.072,0.46222,0.31881,0.84676,0.97009,0.92763,0.98288,0.87666,0.51424,0.35089,0.83076,0.0097921,0.0097921,0.0097921
23,458.648,0.46401,0.31599,0.84951,0.958,0.97544,0.9898,0.87544,0.53147,0.3248,0.83298,0.0097822,0.0097822,0.0097822
24,477.332,0.46303,0.31771,0.85025,0.96351,0.9555,0.98471,0.86902,0.53128,0.33706,0.83854,0.0097723,0.0097723,0.0097723
25,496.436,0.45427,0.30914,0.84473,0.96855,0.96711,0.98702,0.88754,0.49651,0.32301,0.82208,0.0097624,0.0097624,0.0097624
26,516.07,0.45186,0.30907,0.84632,0.95274,0.95724,0.98329,0.8756,0.49277,0.32881,0.82079,0.0097525,0.0097525,0.0097525
27,535.691,0.44494,0.30506,0.8456,0.96358,0.96053,0.98487,0.88091,0.48729,0.35442,0.81888,0.0097426,0.0097426,0.0097426
28,554.864,0.44478,0.30056,0.84288,0.96737,0.97039,0.9901,0.88615,0.51122,0.32506,0.82941,0.0097327,0.0097327,0.0097327
29,573.866,0.43849,0.3011,0.83911,0.96267,0.94737,0.98689,0.88244,0.50515,0.3271,0.82579,0.0097228,0.0097228,0.0097228
30,593.266,0.43715,0.29763,0.84198,0.96599,0.9375,0.9873,0.88619,0.50097,0.33428,0.82231,0.0097129,0.0097129,0.0097129
31,612.487,0.44067,0.29935,0.84063,0.97843,0.94408,0.98973,0.89461,0.47216,0.3259,0.8136,0.009703,0.009703,0.009703
32,631.205,0.4346,0.29328,0.83695,0.95707,0.97039,0.98522,0.88607,0.49874,0.31623,0.82005,0.0096931,0.0096931,0.0096931
33,651.016,0.43242,0.29216,0.83646,0.94859,0.97116,0.98614,0.89376,0.49999,0.32605,0.81854,0.0096832,0.0096832,0.0096832
34,670.593,0.43032,0.28981,0.83955,0.98032,0.94737,0.98846,0.89628,0.50144,0.33436,0.82152,0.0096733,0.0096733,0.0096733
35,690.22,0.42892,0.28708,0.83541,0.97346,0.96518,0.99049,0.88413,0.51257,0.29788,0.82891,0.0096634,0.0096634,0.0096634
36,709.563,0.42917,0.28979,0.83764,0.96643,0.94697,0.98535,0.88787,0.48277,0.33407,0.8153,0.0096535,0.0096535,0.0096535
37,728.745,0.42384,0.28634,0.8357,0.96698,0.96711,0.98831,0.89926,0.47833,0.31365,0.81656,0.0096436,0.0096436,0.0096436
38,747.962,0.4226,0.2824,0.83231,0.96336,0.95066,0.9824,0.8998,0.4767,0.32682,0.81628,0.0096337,0.0096337,0.0096337
39,767.001,0.42804,0.2845,0.84099,0.96523,0.95724,0.98671,0.8949,0.47174,0.31488,0.81315,0.0096238,0.0096238,0.0096238
40,786.307,0.42413,0.2854,0.83216,0.96868,0.94079,0.98613,0.89522,0.49042,0.32253,0.81928,0.0096139,0.0096139,0.0096139
41,805.957,0.42167,0.28072,0.83677,0.96341,0.95275,0.9875,0.89422,0.49395,0.2905,0.81878,0.009604,0.009604,0.009604
42,825.201,0.4189,0.28068,0.8381,0.97751,0.9375,0.98354,0.88657,0.49354,0.31994,0.82371,0.0095941,0.0095941,0.0095941
43,844.273,0.41991,0.28038,0.83409,0.97832,0.94408,0.9852,0.9007,0.46548,0.32118,0.81394,0.0095842,0.0095842,0.0095842
44,864.238,0.41606,0.27589,0.82939,0.97411,0.94408,0.9838,0.88591,0.48632,0.3105,0.81267,0.0095743,0.0095743,0.0095743
45,883.664,0.41814,0.27409,0.83308,0.95136,0.96504,0.98685,0.89811,0.47189,0.32352,0.81306,0.0095644,0.0095644,0.0095644
46,902.665,0.41345,0.27396,0.83322,0.96931,0.95724,0.98703,0.90076,0.46531,0.29858,0.80706,0.0095545,0.0095545,0.0095545
47,921.631,0.41551,0.27361,0.83072,0.96812,0.96711,0.99014,0.90583,0.48213,0.28576,0.81752,0.0095446,0.0095446,0.0095446
