epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7025,0.78121,1.22826,0.91336,0.91874,0.92763,0.97389,0.82312,0.66999,0.58695,0.87648,0.00333136,0.00333136,0.00333136
2,113.186,0.68803,0.6605,0.89059,0.89872,0.91118,0.96623,0.79143,0.7086,0.59491,0.88683,0.0066581,0.0066581,0.0066581
3,164.26,0.73507,0.6494,0.93063,0.94505,0.90516,0.96207,0.75139,0.75197,0.60704,0.91507,0.00997823,0.00997823,0.00997823
4,215.135,0.72057,0.60059,0.93874,0.93455,0.92105,0.96109,0.79279,0.67476,0.56177,0.88524,0.0099703,0.0099703,0.0099703
5,272.517,0.67164,0.51806,0.91816,0.93258,0.92105,0.96959,0.81608,0.67063,0.50631,0.88257,0.0099604,0.0099604,0.0099604
6,324.274,0.64127,0.50369,0.90782,0.95616,0.92434,0.97933,0.84023,0.63956,0.44975,0.86966,0.0099505,0.0099505,0.0099505
7,376.975,0.61702,0.47835,0.89728,0.92928,0.94079,0.97002,0.83429,0.62217,0.44778,0.87094,0.0099406,0.0099406,0.0099406
8,432.94,0.58857,0.44096,0.88816,0.97532,0.93421,0.98248,0.85317,0.58724,0.40243,0.85249,0.0099307,0.0099307,0.0099307
9,483.189,0.57719,0.42677,0.88427,0.95931,0.94079,0.97874,0.85305,0.60347,0.43404,0.86514,0.0099208,0.0099208,0.0099208
10,535.66,0.56607,0.41285,0.87747,0.95273,0.94079,0.98615,0.85299,0.61214,0.41448,0.8599,0.0099109,0.0099109,0.0099109
11,590.392,0.54881,0.39574,0.87391,0.91706,0.95395,0.9742,0.8506,0.60459,0.46067,0.85032,0.009901,0.009901,0.009901
12,646.527,0.53877,0.39493,0.8659,0.96486,0.92105,0.97937,0.8523,0.57254,0.44705,0.84594,0.0098911,0.0098911,0.0098911
13,701.183,0.52931,0.37629,0.86399,0.94292,0.94408,0.98042,0.87571,0.5548,0.42436,0.83537,0.0098812,0.0098812,0.0098812
14,755.173,0.52482,0.37668,0.86392,0.95235,0.98355,0.99204,0.86184,0.59076,0.36416,0.84432,0.0098713,0.0098713,0.0098713
15,807.809,0.51553,0.36608,0.85721,0.95385,0.95186,0.97872,0.8778,0.52151,0.35813,0.82938,0.0098614,0.0098614,0.0098614
16,857.663,0.51237,0.36578,0.85907,0.95886,0.95066,0.9715,0.85671,0.55573,0.39022,0.83714,0.0098515,0.0098515,0.0098515
17,913.376,0.50517,0.35705,0.85742,0.97587,0.93123,0.98684,0.87128,0.57933,0.39369,0.85003,0.0098416,0.0098416,0.0098416
18,971.057,0.50021,0.3512,0.854,0.97319,0.95724,0.98594,0.86516,0.55369,0.36997,0.8374,0.0098317,0.0098317,0.0098317
19,1019.53,0.49416,0.35011,0.85414,0.96081,0.9375,0.98746,0.88009,0.52126,0.3556,0.82888,0.0098218,0.0098218,0.0098218
20,1070.75,0.48789,0.34063,0.84757,0.95758,0.97697,0.98664,0.87899,0.52658,0.3364,0.83487,0.0098119,0.0098119,0.0098119
21,1119.35,0.48994,0.33932,0.85238,0.96406,0.9705,0.99212,0.88317,0.55942,0.34186,0.8415,0.009802,0.009802,0.009802
22,1170.18,0.48351,0.33711,0.84804,0.96925,0.9375,0.98334,0.88278,0.52512,0.3519,0.82542,0.0097921,0.0097921,0.0097921
23,1223.91,0.48171,0.33759,0.8487,0.9335,0.96711,0.98514,0.87859,0.53176,0.35197,0.82704,0.0097822,0.0097822,0.0097822
24,1275.86,0.4786,0.33855,0.84719,0.94343,0.98754,0.98815,0.89212,0.52452,0.32642,0.82568,0.0097723,0.0097723,0.0097723
25,1330.29,0.47448,0.32943,0.84766,0.93452,0.95395,0.98341,0.87687,0.5289,0.35879,0.83285,0.0097624,0.0097624,0.0097624
26,1391.06,0.46636,0.322,0.84191,0.94831,0.97697,0.98751,0.89117,0.51657,0.33027,0.82322,0.0097525,0.0097525,0.0097525
27,1439.02,0.46092,0.32489,0.84193,0.97302,0.92434,0.98631,0.89159,0.50245,0.36651,0.81868,0.0097426,0.0097426,0.0097426
28,1492.14,0.45992,0.32132,0.83982,0.96268,0.95395,0.98848,0.90202,0.49812,0.33503,0.8188,0.0097327,0.0097327,0.0097327
29,1549.03,0.45351,0.30914,0.83438,0.9672,0.97002,0.99065,0.90521,0.48063,0.31804,0.81179,0.0097228,0.0097228,0.0097228
30,1598.53,0.44889,0.30481,0.83859,0.96052,0.96027,0.98858,0.89421,0.48116,0.32151,0.81426,0.0097129,0.0097129,0.0097129
