epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.506,0.75319,1.04921,0.96896,0.96203,0.92105,0.98004,0.79877,0.74379,0.50959,0.90766,0.00333136,0.00333136,0.00333136
2,327.031,0.72818,0.63418,0.95442,0.9102,0.90023,0.95501,0.79265,0.70881,0.58535,0.89517,0.0066581,0.0066581,0.0066581
3,482.928,0.78493,0.63266,0.98064,0.91655,0.93931,0.97016,0.76283,0.81511,0.55875,0.95759,0.00997823,0.00997823,0.00997823
4,638.948,0.75956,0.58876,0.96845,0.93064,0.9375,0.96522,0.77984,0.77321,0.53483,0.92004,0.0099703,0.0099703,0.0099703
5,795.543,0.69835,0.5266,0.93937,0.9176,0.92763,0.97252,0.79516,0.73988,0.49837,0.92304,0.0099604,0.0099604,0.0099604
6,951.253,0.65401,0.49439,0.9208,0.9367,0.87171,0.95107,0.80323,0.64984,0.6238,0.88147,0.0099505,0.0099505,0.0099505
7,1107.53,0.62551,0.46875,0.90805,0.9364,0.95724,0.98068,0.83091,0.67578,0.44319,0.8891,0.0099406,0.0099406,0.0099406
8,1264.58,0.60121,0.42901,0.90165,0.8991,0.93803,0.97417,0.81904,0.64686,0.45312,0.872,0.0099307,0.0099307,0.0099307
9,1420.42,0.58855,0.4142,0.89763,0.94108,0.95066,0.98584,0.83914,0.65185,0.41019,0.88211,0.0099208,0.0099208,0.0099208
10,1575.89,0.56943,0.40189,0.88774,0.9647,0.93421,0.98139,0.84449,0.61257,0.41756,0.86443,0.0099109,0.0099109,0.0099109
11,1732.37,0.55297,0.39172,0.88325,0.93944,0.95724,0.9785,0.85276,0.60522,0.39274,0.8541,0.009901,0.009901,0.009901
12,1888.09,0.5456,0.3919,0.87453,0.96113,0.93092,0.98521,0.83826,0.63317,0.40284,0.86356,0.0098911,0.0098911,0.0098911
13,2043.67,0.52864,0.37166,0.87205,0.96901,0.92568,0.98597,0.87573,0.56819,0.39387,0.8444,0.0098812,0.0098812,0.0098812
14,2198.77,0.52424,0.35598,0.87147,0.95712,0.96711,0.98877,0.85179,0.59801,0.36868,0.84768,0.0098713,0.0098713,0.0098713
15,2355.23,0.51106,0.34892,0.86267,0.94997,0.93689,0.98194,0.85623,0.57954,0.38831,0.85112,0.0098614,0.0098614,0.0098614
16,2509.96,0.50522,0.34808,0.86406,0.9324,0.95278,0.97921,0.8658,0.5577,0.38423,0.84409,0.0098515,0.0098515,0.0098515
17,2666.24,0.50125,0.34909,0.86224,0.96377,0.96266,0.98761,0.87737,0.54338,0.36398,0.83504,0.0098416,0.0098416,0.0098416
18,2821.28,0.4921,0.33282,0.8578,0.95042,0.94587,0.9806,0.8621,0.56869,0.36691,0.8443,0.0098317,0.0098317,0.0098317
19,2976.75,0.48805,0.32935,0.85941,0.94292,0.97039,0.98305,0.86635,0.57856,0.33429,0.85902,0.0098218,0.0098218,0.0098218
20,3133.27,0.48111,0.32262,0.8516,0.95242,0.93421,0.98138,0.88244,0.53612,0.407,0.83612,0.0098119,0.0098119,0.0098119
21,3289.47,0.48253,0.32553,0.85616,0.9532,0.97039,0.98775,0.86702,0.56497,0.3563,0.8431,0.009802,0.009802,0.009802
22,3445.42,0.47375,0.32364,0.85135,0.95106,0.95879,0.98281,0.89203,0.52652,0.35384,0.82624,0.0097921,0.0097921,0.0097921
23,3602.28,0.47049,0.31383,0.85124,0.96895,0.96382,0.98751,0.87778,0.53355,0.33156,0.83574,0.0097822,0.0097822,0.0097822
24,3757.63,0.46803,0.3284,0.85089,0.9618,0.95066,0.98661,0.87008,0.54784,0.35255,0.83713,0.0097723,0.0097723,0.0097723
25,3913.35,0.46437,0.30409,0.84979,0.93979,0.97559,0.9867,0.88576,0.52046,0.31828,0.82976,0.0097624,0.0097624,0.0097624
26,4069.85,0.45756,0.31008,0.84444,0.97013,0.96162,0.99205,0.88604,0.50173,0.31851,0.82369,0.0097525,0.0097525,0.0097525
27,4225.5,0.45089,0.31136,0.84506,0.9351,0.94787,0.98153,0.88439,0.50167,0.38408,0.8183,0.0097426,0.0097426,0.0097426
28,4381.86,0.44693,0.29192,0.84137,0.95215,0.98026,0.99052,0.88207,0.53666,0.31909,0.83388,0.0097327,0.0097327,0.0097327
29,4537.79,0.44784,0.29298,0.83634,0.95137,0.96528,0.98669,0.88108,0.53447,0.32456,0.83261,0.0097228,0.0097228,0.0097228
30,4693.15,0.44123,0.29403,0.84024,0.93817,0.98684,0.98738,0.89305,0.50899,0.31846,0.82109,0.0097129,0.0097129,0.0097129
31,4849.67,0.43902,0.29336,0.83548,0.96005,0.96711,0.98914,0.88931,0.5196,0.31985,0.82229,0.009703,0.009703,0.009703
32,5005.7,0.43537,0.29263,0.83878,0.94855,0.98026,0.98491,0.88935,0.5153,0.30218,0.82075,0.0096931,0.0096931,0.0096931
33,5162.02,0.43409,0.28135,0.83458,0.97315,0.95391,0.98872,0.88345,0.51927,0.32608,0.82426,0.0096832,0.0096832,0.0096832
34,5317.57,0.43265,0.28232,0.83606,0.9511,0.96382,0.9863,0.89768,0.50102,0.31416,0.81737,0.0096733,0.0096733,0.0096733
35,5473.59,0.43031,0.28546,0.83571,0.9473,0.94079,0.98045,0.87081,0.54101,0.33623,0.82963,0.0096634,0.0096634,0.0096634
36,5629.41,0.41996,0.27483,0.83295,0.97339,0.96268,0.98887,0.8935,0.48887,0.29609,0.81327,0.0096535,0.0096535,0.0096535
37,5785.69,0.41922,0.2763,0.83179,0.95689,0.94914,0.98612,0.89867,0.50625,0.31261,0.81816,0.0096436,0.0096436,0.0096436
38,5941.24,0.41924,0.27758,0.8274,0.94547,0.96053,0.98424,0.8947,0.48451,0.32756,0.81335,0.0096337,0.0096337,0.0096337
39,6097.25,0.41375,0.29172,0.83067,0.9482,0.95066,0.98646,0.88717,0.52697,0.32788,0.826,0.0096238,0.0096238,0.0096238
40,6252.41,0.41515,0.27803,0.82757,0.93325,0.96586,0.98669,0.90448,0.47874,0.30403,0.81064,0.0096139,0.0096139,0.0096139
41,6407.81,0.41006,0.26801,0.82696,0.96772,0.97039,0.98761,0.89593,0.49098,0.30136,0.8137,0.009604,0.009604,0.009604
42,6563.15,0.40926,0.27163,0.82848,0.95232,0.98562,0.99074,0.89421,0.50471,0.29526,0.8197,0.0095941,0.0095941,0.0095941
43,6718.83,0.40925,0.26302,0.82987,0.95337,0.94158,0.98634,0.89228,0.49834,0.32122,0.8156,0.0095842,0.0095842,0.0095842
44,6874.88,0.4043,0.26082,0.82456,0.9683,0.96053,0.99064,0.89302,0.50208,0.29426,0.81275,0.0095743,0.0095743,0.0095743
45,7030.72,0.40802,0.26432,0.82679,0.94581,0.97594,0.98943,0.90002,0.48865,0.2938,0.80772,0.0095644,0.0095644,0.0095644
46,7187.03,0.40439,0.25888,0.82678,0.96984,0.95194,0.99015,0.89261,0.51239,0.29242,0.81636,0.0095545,0.0095545,0.0095545
47,7342.86,0.39643,0.25788,0.82467,0.97993,0.9636,0.99188,0.90395,0.46518,0.28437,0.8015,0.0095446,0.0095446,0.0095446
48,7498.33,0.39663,0.2537,0.82127,0.93688,0.97658,0.98856,0.89927,0.49234,0.3082,0.80836,0.0095347,0.0095347,0.0095347
49,7654.4,0.39599,0.25257,0.82394,0.97068,0.98013,0.99316,0.90839,0.47597,0.2695,0.8083,0.0095248,0.0095248,0.0095248
50,7810.4,0.39401,0.25524,0.82517,0.96987,0.97039,0.98921,0.90345,0.47096,0.30114,0.8049,0.0095149,0.0095149,0.0095149
51,7966.66,0.38883,0.25919,0.82007,0.98335,0.97167,0.99276,0.9003,0.47828,0.26126,0.8083,0.009505,0.009505,0.009505
52,8122.16,0.38538,0.24747,0.81883,0.97895,0.96053,0.99285,0.89668,0.49727,0.27894,0.81525,0.0094951,0.0094951,0.0094951
53,8277.58,0.38497,0.24477,0.81723,0.95366,0.97368,0.98956,0.91003,0.47389,0.28808,0.81122,0.0094852,0.0094852,0.0094852
54,8433.23,0.38162,0.24537,0.81963,0.95469,0.9704,0.98855,0.90392,0.48545,0.30906,0.80921,0.0094753,0.0094753,0.0094753
