capture_datetime,capture_date,capture_time,hour,doy,confidence_mass_max,pred_count_max,detection_rate_max,focus_selected,num_focus_available,num_focus_detected,any_focus_detected,confidence_mass_range_across_focus,confidence_mass_std_across_focus
2024-06-05 11:33:00,2024-06-05,11:33:00,11,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 12:01:00,2024-06-05,12:01:00,12,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 12:31:00,2024-06-05,12:31:00,12,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 13:01:00,2024-06-05,13:01:00,13,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 13:31:00,2024-06-05,13:31:00,13,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 14:01:00,2024-06-05,14:01:00,14,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 14:31:00,2024-06-05,14:31:00,14,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 15:01:00,2024-06-05,15:01:00,15,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 15:31:00,2024-06-05,15:31:00,15,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 16:01:00,2024-06-05,16:01:00,16,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 16:31:00,2024-06-05,16:31:00,16,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 17:01:00,2024-06-05,17:01:00,17,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 17:31:00,2024-06-05,17:31:00,17,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 18:01:00,2024-06-05,18:01:00,18,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 18:31:00,2024-06-05,18:31:00,18,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 19:01:00,2024-06-05,19:01:00,19,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 19:31:00,2024-06-05,19:31:00,19,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 20:01:00,2024-06-05,20:01:00,20,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-05 20:31:00,2024-06-05,20:31:00,20,157,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-06 06:02:00,2024-06-06,06:02:00,6,158,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-06 06:31:00,2024-06-06,06:31:00,6,158,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-06 07:01:00,2024-06-06,07:01:00,7,158,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-06 07:31:00,2024-06-06,07:31:00,7,158,0.0,0,0.0,700,1,0,0,0.0,0.0
